volume_tests,company_id,company_type,time,date,month,year,day,is_weekend,season,avg_pesq_score,quality_too_poor,number_busy,temporarily_unable_test,outage_hrs,number_test_types,numbers_tested,followup_tests
39414,2,Enterprise,2017-01-23,23,1,2017,Mon,0,Winter,3.8752005,67,129,12,399.27,3,2070,50
40581,2,Enterprise,2017-01-24,24,1,2017,Tues,0,Winter,3.8552705,86,138,68,336.91,3,2083,30
40611,2,Enterprise,2017-01-25,25,1,2017,Wed,0,Winter,3.8515225,15,219,32,470.89,3,2102,30
40361,2,Enterprise,2017-01-26,26,1,2017,Thurs,0,Winter,3.852266,8,113,84,629.46,3,2086,10
39903,2,Enterprise,2017-01-27,27,1,2017,Fri,0,Winter,3.865846,2,108,100,518.32,3,2036,60
24796,2,Enterprise,2017-01-28,28,1,2017,Sat,1,Winter,3.878477,0,24,15,552.06,3,308,10
23649,2,Enterprise,2017-01-29,29,1,2017,Sun,1,Winter,3.8665605,0,7,0,551.99,3,242,0
40111,2,Enterprise,2017-01-30,30,1,2017,Mon,0,Winter,3.861369,3,42,45,551.99,3,2078,0
40952,2,Enterprise,2017-01-31,31,1,2017,Tues,0,Winter,3.8573205,11,403,12,551.4,3,2099,0
41989,2,Enterprise,2017-02-01,1,2,2017,Wed,0,Spring,3.8525785,6,477,64,547.44,3,2103,30
41982,2,Enterprise,2017-02-02,2,2,2017,Thurs,0,Spring,3.8516535,16,207,108,629.21,3,2065,80
41237,2,Enterprise,2017-02-03,3,2,2017,Fri,0,Spring,3.8595115,26,102,71,696.71,3,2045,0
25900,2,Enterprise,2017-02-04,4,2,2017,Sat,1,Spring,3.8598125,0,11,38,696.09,3,313,0
24738,2,Enterprise,2017-02-05,5,2,2017,Sun,1,Spring,3.848077,1,9,16,695.99,3,246,0
41313,2,Enterprise,2017-02-06,6,2,2017,Mon,0,Spring,3.854383,56,75,161,695.99,3,2099,51
41631,2,Enterprise,2017-02-07,7,2,2017,Tues,0,Spring,3.854251,53,145,262,729.36,3,2096,20
41745,2,Enterprise,2017-02-08,8,2,2017,Wed,0,Spring,3.862366,61,300,176,784.07,3,2106,56
41716,2,Enterprise,2017-02-09,9,2,2017,Thurs,0,Spring,3.856791,2,419,546,1175.57,3,2103,150
40875,2,Enterprise,2017-02-10,10,2,2017,Fri,0,Spring,3.8626215,4,170,140,1056.13,3,2039,40
25603,2,Enterprise,2017-02-11,11,2,2017,Sat,1,Spring,3.8638555,5,12,11,1031.99,3,310,0
24513,2,Enterprise,2017-02-12,12,2,2017,Sun,1,Spring,3.860862,0,8,11,1031.99,3,245,0
41242,2,Enterprise,2017-02-13,13,2,2017,Mon,0,Spring,3.8616625,9,465,61,1224.99,3,2096,120
41582,2,Enterprise,2017-02-14,14,2,2017,Tues,0,Spring,3.85371,20,296,151,1237.04,3,2092,20
41795,2,Enterprise,2017-02-15,15,2,2017,Wed,0,Spring,3.8536925,7,699,183,1280.46,3,2117,40
42620,2,Enterprise,2017-02-16,16,2,2017,Thurs,0,Spring,3.826539,5,615,643,1421.88,3,2104,0
40483,2,Enterprise,2017-02-17,17,2,2017,Fri,0,Spring,3.8339035,25,152,91,1495.28,3,2011,10
25380,2,Enterprise,2017-02-18,18,2,2017,Sat,1,Spring,3.8319155,0,20,3,1439.98,3,312,0
24441,2,Enterprise,2017-02-19,19,2,2017,Sun,1,Spring,3.823247,3,20,9,1439.98,3,248,0
40788,2,Enterprise,2017-02-20,20,2,2017,Mon,0,Spring,3.833749,13,52,141,1376.4,3,2099,10
41433,2,Enterprise,2017-02-21,21,2,2017,Tues,0,Spring,3.8357205,1,293,168,1237.29,3,2107,30
41402,2,Enterprise,2017-02-22,22,2,2017,Wed,0,Spring,3.831589,5,258,153,1300.63,3,2109,40
41316,2,Enterprise,2017-02-23,23,2,2017,Thurs,0,Spring,3.82818,45,319,140,1320.17,3,2105,20
40615,2,Enterprise,2017-02-24,24,2,2017,Fri,0,Spring,3.834254,13,155,149,1319.98,3,2053,10
25345,2,Enterprise,2017-02-25,25,2,2017,Sat,1,Spring,3.8445185,2,18,27,1319.98,3,314,10
24189,2,Enterprise,2017-02-26,26,2,2017,Sun,1,Spring,3.771718,11,84,14,1319.98,3,248,10
40633,2,Enterprise,2017-02-27,27,2,2017,Mon,0,Spring,3.825621,7,479,93,1322.3,3,2097,40
38000,2,Enterprise,2017-02-28,28,2,2017,Tues,0,Spring,3.839429,2,192,222,1391.55,3,2083,60
41640,2,Enterprise,2017-03-01,1,3,2017,Wed,0,Spring,3.838958,2,162,34,1461.02,3,2114,50
41552,2,Enterprise,2017-03-02,2,3,2017,Thurs,0,Spring,3.8435945,5,274,9,1465.87,3,2164,40
41079,2,Enterprise,2017-03-03,3,3,2017,Fri,0,Spring,4.095579,5,433,8,1490.12,2,2054,30
25431,2,Enterprise,2017-03-04,4,3,2017,Sat,1,Spring,4.092848,1,90,0,1488.08,2,312,0
24682,2,Enterprise,2017-03-05,5,3,2017,Sun,1,Spring,4.061708,1,103,0,1487.98,2,249,0
41092,2,Enterprise,2017-03-06,6,3,2017,Mon,0,Spring,4.090544,10,208,2,1491.98,2,2101,30
41843,2,Enterprise,2017-03-07,7,3,2017,Tues,0,Spring,4.084956,10,236,44,1500.18,2,2109,60
41946,2,Enterprise,2017-03-08,8,3,2017,Wed,0,Spring,4.087167,4,275,14,1558.58,2,2109,50
41974,2,Enterprise,2017-03-09,9,3,2017,Thurs,0,Spring,4.070952,25,373,350,1580.49,2,2115,60
40943,2,Enterprise,2017-03-10,10,3,2017,Fri,0,Spring,4.098507,13,228,125,1607.98,2,2051,0
25927,2,Enterprise,2017-03-11,11,3,2017,Sat,1,Spring,4.100361,4,108,817,1627.56,2,319,30
24701,2,Enterprise,2017-03-12,12,3,2017,Sun,1,Spring,4.068193,0,35,97,1631.98,2,250,0
41483,2,Enterprise,2017-03-13,13,3,2017,Mon,0,Spring,4.077929,9,130,932,1643.02,2,2069,20
41852,2,Enterprise,2017-03-14,14,3,2017,Tues,0,Spring,4.081324,4,69,971,1678.82,2,2071,20
41861,2,Enterprise,2017-03-15,15,3,2017,Wed,0,Spring,4.081525,4,110,144,1656.23,2,2074,40
42255,2,Enterprise,2017-03-16,16,3,2017,Thurs,0,Spring,4.102015,0,149,932,1668.2,2,2078,70
41339,2,Enterprise,2017-03-17,17,3,2017,Fri,0,Spring,4.117072,5,179,877,1721.4,2,2031,30
25688,2,Enterprise,2017-03-18,18,3,2017,Sat,1,Spring,4.102421,2,40,905,1727.98,2,309,0
24773,2,Enterprise,2017-03-19,19,3,2017,Sun,1,Spring,4.084556,19,105,105,1727.98,2,253,20
41979,2,Enterprise,2017-03-20,20,3,2017,Mon,0,Spring,4.090374,1,123,926,1740.22,2,2085,40
42485,2,Enterprise,2017-03-21,21,3,2017,Tues,0,Spring,4.082567,165,1106,73,1753.03,2,2077,30
42309,2,Enterprise,2017-03-22,22,3,2017,Wed,0,Spring,4.111564,15,1030,155,1752.33,2,2067,10
42531,2,Enterprise,2017-03-23,23,3,2017,Thurs,0,Spring,4.098345,1,1071,168,1785.88,2,2075,10
41522,2,Enterprise,2017-03-24,24,3,2017,Fri,0,Spring,4.11251,5,1008,113,1847.61,2,2072,80
25656,2,Enterprise,2017-03-25,25,3,2017,Sat,1,Spring,4.106213,1,934,0,1872.18,2,310,0
24872,2,Enterprise,2017-03-26,26,3,2017,Sun,1,Spring,4.081725,3,141,0,1871.98,2,237,20
41267,2,Enterprise,2017-03-27,27,3,2017,Mon,0,Spring,4.110198,10,1007,186,1863.36,2,1877,20
40912,2,Enterprise,2017-03-28,28,3,2017,Tues,0,Spring,4.081048,4,993,28,1872.08,2,1881,0
36568,2,Enterprise,2017-03-29,29,3,2017,Wed,0,Spring,4.080904,4,967,28,1906.89,2,1850,20
36574,2,Enterprise,2017-03-30,30,3,2017,Thurs,0,Spring,4.0823,2,1056,86,1896.7,2,1850,0
35968,2,Enterprise,2017-03-31,31,3,2017,Fri,0,Spring,4.092166,11,1435,267,1910.04,2,1823,60
20629,2,Enterprise,2017-04-01,1,4,2017,Sat,1,Spring,4.10247,1,914,106,1919.98,2,300,0
19689,2,Enterprise,2017-04-02,2,4,2017,Sun,1,Spring,4.088575,3,98,103,1919.98,2,215,0
36207,2,Enterprise,2017-04-03,3,4,2017,Mon,0,Spring,4.108213,18,1040,305,1935.7,2,1838,40
36832,2,Enterprise,2017-04-04,4,4,2017,Tues,0,Spring,4.094892,4,962,197,1943.98,2,2090,0
37629,2,Enterprise,2017-04-05,5,4,2017,Wed,0,Spring,4.091097,56,1160,68,1949.84,2,2155,0
37836,2,Enterprise,2017-04-06,6,4,2017,Thurs,0,Spring,4.101197,2,1032,7,1960.47,2,2132,20
36633,2,Enterprise,2017-04-07,7,4,2017,Fri,0,Spring,4.032355,6,1052,6,1967.98,2,2093,0
21137,2,Enterprise,2017-04-08,8,4,2017,Sat,1,Spring,4.108851,1,893,4,1967.98,2,298,0
20187,2,Enterprise,2017-04-09,9,4,2017,Sun,1,Spring,4.089388,0,127,0,1967.98,2,231,0
36837,2,Enterprise,2017-04-10,10,4,2017,Mon,0,Spring,4.11001,3,915,8,1967.98,2,2156,10
40237,2,Enterprise,2017-04-11,11,4,2017,Tues,0,Spring,4.112268,4,921,18,1967.98,2,2160,0
42272,2,Enterprise,2017-04-12,12,4,2017,Wed,0,Spring,4.115608,4,940,13,2010.85,2,2192,20
42349,2,Enterprise,2017-04-13,13,4,2017,Thurs,0,Spring,4.114651,12,243,8,2030.08,2,2184,20
41697,2,Enterprise,2017-04-14,14,4,2017,Fri,0,Spring,4.126346,43,349,7,2084.74,2,2125,20
26054,2,Enterprise,2017-04-15,15,4,2017,Sat,1,Spring,4.122694,29,279,0,2087.98,2,318,0
24985,2,Enterprise,2017-04-16,16,4,2017,Sun,1,Spring,4.101659,1,110,0,2087.98,2,251,0
41581,2,Enterprise,2017-04-17,17,4,2017,Mon,0,Spring,4.116962,2,162,5,2083.62,2,2173,0
42035,2,Enterprise,2017-04-18,18,4,2017,Tues,0,Spring,4.088058,30,249,55,2071.33,2,2182,60
41998,2,Enterprise,2017-04-19,19,4,2017,Wed,0,Spring,4.106313,26,199,102,2090.5,2,2182,30
42062,2,Enterprise,2017-04-20,20,4,2017,Thurs,0,Spring,4.106058,55,188,90,2114.48,2,2141,10
41544,2,Enterprise,2017-04-21,21,4,2017,Fri,0,Spring,4.100789,20,204,6,2166.17,2,2129,80
25965,2,Enterprise,2017-04-22,22,4,2017,Sat,1,Spring,4.119953,8,2,7,2183.97,2,312,0
25034,2,Enterprise,2017-04-23,23,4,2017,Sun,1,Spring,4.097621,0,3,3,2183.97,2,251,0
41987,2,Enterprise,2017-04-24,24,4,2017,Mon,0,Spring,4.119782,12,478,123,2226.46,2,2183,90
42272,2,Enterprise,2017-04-25,25,4,2017,Tues,0,Spring,4.10867,13,117,29,2260.2,2,2237,90
42026,2,Enterprise,2017-04-26,26,4,2017,Wed,0,Spring,4.101556,5,66,616,2338.73,2,2239,20
42012,2,Enterprise,2017-04-27,27,4,2017,Thurs,0,Spring,4.106736,0,231,1531,2428.37,2,2170,20
41700,2,Enterprise,2017-04-28,28,4,2017,Fri,0,Spring,4.110504,24,157,1838,2444.92,2,2179,40
25888,2,Enterprise,2017-04-29,29,4,2017,Sat,1,Spring,4.113322,0,15,482,2399.97,2,311,0
24905,2,Enterprise,2017-04-30,30,4,2017,Sun,1,Spring,4.085957,0,7,456,2399.97,2,250,0
41268,2,Enterprise,2017-05-01,1,5,2017,Mon,0,Summer,4.109304,39,37,1484,2410.97,2,2228,0
36853,2,Enterprise,2017-05-02,2,5,2017,Tues,0,Summer,4.105875,58,116,1591,2432.13,2,2232,30
36929,2,Enterprise,2017-05-03,3,5,2017,Wed,0,Summer,4.104588,8,143,1395,2464.76,2,2236,20
36868,2,Enterprise,2017-05-04,4,5,2017,Thurs,0,Summer,4.090174,9,206,40,2510.23,2,2236,20
36220,2,Enterprise,2017-05-05,5,5,2017,Fri,0,Summer,4.101331,2,284,83,2864.67,2,2196,50
20602,2,Enterprise,2017-05-06,6,5,2017,Sat,1,Summer,4.11983,0,1,0,3023.97,2,312,0
19654,2,Enterprise,2017-05-07,7,5,2017,Sun,1,Summer,4.077913,2,17,0,3023.97,2,251,0
36505,2,Enterprise,2017-05-08,8,5,2017,Mon,0,Summer,4.09851,11,69,6,3042.91,2,2257,40
35333,2,Enterprise,2017-05-09,9,5,2017,Tues,0,Summer,4.090083,20,232,6,3235.25,2,2264,30
37374,2,Enterprise,2017-05-10,10,5,2017,Wed,0,Summer,4.104058,8,167,813,3159.83,2,2272,10
37364,2,Enterprise,2017-05-11,11,5,2017,Thurs,0,Summer,4.07201,9,191,1369,3178.24,2,2275,40
36790,2,Enterprise,2017-05-12,12,5,2017,Fri,0,Summer,4.08936,8,115,358,3168.74,2,2207,0
20607,2,Enterprise,2017-05-13,13,5,2017,Sat,1,Summer,4.110144,0,133,0,3167.96,2,317,30
19727,2,Enterprise,2017-05-14,14,5,2017,Sun,1,Summer,4.049592,3,138,0,3167.96,2,262,10
37244,2,Enterprise,2017-05-15,15,5,2017,Mon,0,Summer,4.083739,39,147,200,3167.96,2,2268,40
37964,2,Enterprise,2017-05-16,16,5,2017,Tues,0,Summer,4.071552,24,77,1167,3188.91,2,2271,50
38662,2,Enterprise,2017-05-17,17,5,2017,Wed,0,Summer,4.068767,9,186,665,3248.64,2,2271,20
37511,2,Enterprise,2017-05-18,18,5,2017,Thurs,0,Summer,4.064699,13,124,26,3333.18,2,2276,20
36707,2,Enterprise,2017-05-19,19,5,2017,Fri,0,Summer,4.07088,17,20,15,3263.96,2,2214,0
20676,2,Enterprise,2017-05-20,20,5,2017,Sat,1,Summer,4.074604,0,32,64,3263.96,2,321,10
19789,2,Enterprise,2017-05-21,21,5,2017,Sun,1,Summer,4.010788,0,5,0,3263.96,2,264,0
37053,2,Enterprise,2017-05-22,22,5,2017,Mon,0,Summer,4.036118,78,17,6,3263.96,2,2274,0
37463,2,Enterprise,2017-05-23,23,5,2017,Tues,0,Summer,4.020738,8,33,40,3263.96,2,2289,10
37052,2,Enterprise,2017-05-24,24,5,2017,Wed,0,Summer,4.069429,11,98,1050,3266.28,2,2282,30
38203,2,Enterprise,2017-05-25,25,5,2017,Thurs,0,Summer,4.077905,13,1081,1395,3560.62,2,2287,110
37010,2,Enterprise,2017-05-26,26,5,2017,Fri,0,Summer,4.082476,3,344,20,3651.87,2,2243,0
20726,2,Enterprise,2017-05-27,27,5,2017,Sat,1,Summer,4.091227,0,9,1,3463.48,2,331,0
19865,2,Enterprise,2017-05-28,28,5,2017,Sun,1,Summer,4.034753,0,0,0,3455.96,2,270,0
37076,2,Enterprise,2017-05-29,29,5,2017,Mon,0,Summer,4.06758,3,69,29,3587.12,2,2348,20
37428,2,Enterprise,2017-05-30,30,5,2017,Tues,0,Summer,4.057022,8,20,92,3767.96,2,2352,0
37430,2,Enterprise,2017-05-31,31,5,2017,Wed,0,Summer,4.054324,1,24,8,3755.59,2,2356,10
37498,2,Enterprise,2017-06-01,1,6,2017,Thurs,0,Summer,4.053953,24,141,24,3782,2,2358,110
38787,2,Enterprise,2017-06-02,2,6,2017,Fri,0,Summer,4.020012,7,322,17,3885.96,2,2299,170
24601,2,Enterprise,2017-06-03,3,6,2017,Sat,1,Summer,3.959511,4,49,0,3911.95,2,332,10
23270,2,Enterprise,2017-06-04,4,6,2017,Sun,1,Summer,3.904195,3,4,122,3911.95,2,268,0
41878,2,Enterprise,2017-06-05,5,6,2017,Mon,0,Summer,3.980939,4,48,83,3919.5,2,2348,10
42261,2,Enterprise,2017-06-06,6,6,2017,Tues,0,Summer,3.975206,8,41,92,3953.21,2,2351,10
39174,2,Enterprise,2017-06-07,7,6,2017,Wed,0,Summer,4.009087,15,234,20,4298.24,2,2361,130
37548,2,Enterprise,2017-06-08,8,6,2017,Thurs,0,Summer,4.024559,5,127,6,4465.6,2,2361,60
36665,2,Enterprise,2017-06-09,9,6,2017,Fri,0,Summer,4.048564,2,274,7,4466.24,2,2225,80
20833,2,Enterprise,2017-06-10,10,6,2017,Sat,1,Summer,4.040871,0,13,0,4511.95,2,337,0
19921,2,Enterprise,2017-06-11,11,6,2017,Sun,1,Summer,3.998507,0,4,2,4493.02,2,262,0
36738,2,Enterprise,2017-06-12,12,6,2017,Mon,0,Summer,4.030891,3,33,6,4247.84,2,2250,10
37331,2,Enterprise,2017-06-13,13,6,2017,Tues,0,Summer,4.024219,2,152,9,4104.04,2,2258,60
37561,2,Enterprise,2017-06-14,14,6,2017,Wed,0,Summer,4.010432,18,291,33,4082.55,2,2261,90
37574,2,Enterprise,2017-06-15,15,6,2017,Thurs,0,Summer,4.018427,7,122,60,4079.74,2,2267,20
36718,2,Enterprise,2017-06-16,16,6,2017,Fri,0,Summer,4.030939,19,28,34,4059.45,2,2200,0
21119,2,Enterprise,2017-06-17,17,6,2017,Sat,1,Summer,4.042813,1,20,0,4055.95,2,338,0
20349,2,Enterprise,2017-06-18,18,6,2017,Sun,1,Summer,3.98584,2,82,0,4131.7,2,267,40
37157,2,Enterprise,2017-06-19,19,6,2017,Mon,0,Summer,4.029419,5,100,7,4171.82,2,2256,20
37555,2,Enterprise,2017-06-20,20,6,2017,Tues,0,Summer,4.035692,8,30,6,4199.95,2,2265,0
37349,2,Enterprise,2017-06-21,21,6,2017,Wed,0,Summer,4.032905,4,59,7,4174.29,2,2264,0
37420,2,Enterprise,2017-06-22,22,6,2017,Thurs,0,Summer,4.031529,7,67,8,4099.01,2,2261,10
36557,2,Enterprise,2017-06-23,23,6,2017,Fri,0,Summer,4.047162,3,107,6,4125.16,2,2199,30
20772,2,Enterprise,2017-06-24,24,6,2017,Sat,1,Summer,4.051711,4,11,0,4127.95,2,335,0
19968,2,Enterprise,2017-06-25,25,6,2017,Sun,1,Summer,3.994734,0,4,0,4127.95,2,260,0
36646,2,Enterprise,2017-06-26,26,6,2017,Mon,0,Summer,4.039784,2,70,17,4177.06,2,2253,50
37237,2,Enterprise,2017-06-27,27,6,2017,Tues,0,Summer,4.031317,7,46,6,4286.32,2,2264,50
36948,2,Enterprise,2017-06-28,28,6,2017,Wed,0,Summer,4.034247,4,88,8,4282.19,2,2260,40
37289,2,Enterprise,2017-06-29,29,6,2017,Thurs,0,Summer,4.034846,9,30,6,4295.95,2,2258,10
36473,2,Enterprise,2017-06-30,30,6,2017,Fri,0,Summer,4.044073,1,286,11,4418.88,2,2203,40
20836,2,Enterprise,2017-07-01,1,7,2017,Sat,1,Summer,4.046999,1,22,0,4847.94,2,344,10
19643,2,Enterprise,2017-07-02,2,7,2017,Sun,1,Summer,3.974312,0,10,23,4847.94,2,268,0
36785,2,Enterprise,2017-07-03,3,7,2017,Mon,0,Summer,4.036599,0,260,123,4847.94,2,2252,10
37082,2,Enterprise,2017-07-04,4,7,2017,Tues,0,Summer,4.033489,1,245,0,4847.94,2,2249,0
36964,2,Enterprise,2017-07-05,5,7,2017,Wed,0,Summer,4.038793,4,99,22,4734.67,2,2254,30
37057,2,Enterprise,2017-07-06,6,7,2017,Thurs,0,Summer,4.032197,2,123,163,4295.95,2,2251,50
36312,2,Enterprise,2017-07-07,7,7,2017,Fri,0,Summer,4.047709,0,94,1,4295.95,2,2193,30
20547,2,Enterprise,2017-07-08,8,7,2017,Sat,1,Summer,4.059017,0,17,1,4295.95,2,334,0
19734,2,Enterprise,2017-07-09,9,7,2017,Sun,1,Summer,4.001506,0,8,0,4295.95,2,258,0
36524,2,Enterprise,2017-07-10,10,7,2017,Mon,0,Summer,4.058703,1,66,13,4314.11,2,2247,20
36874,2,Enterprise,2017-07-11,11,7,2017,Tues,0,Summer,4.06275,4,58,1,4434.64,2,2253,30
35210,2,Enterprise,2017-07-12,12,7,2017,Wed,0,Summer,4.054004,7,31,185,4479.78,2,2244,0
33565,2,Enterprise,2017-07-13,13,7,2017,Thurs,0,Summer,4.05157,943,274,31,4779.98,2,2242,110
32899,2,Enterprise,2017-07-14,14,7,2017,Fri,0,Summer,4.071447,0,131,1,4531.32,2,2159,10
17227,2,Enterprise,2017-07-15,15,7,2017,Sat,1,Summer,4.065703,0,21,0,4463.95,2,307,0
16436,2,Enterprise,2017-07-16,16,7,2017,Sun,1,Summer,4.004152,2,18,0,4463.95,2,238,0
33480,2,Enterprise,2017-07-17,17,7,2017,Mon,0,Summer,4.049892,12,54,9,4463.95,2,2252,0
33355,2,Enterprise,2017-07-18,18,7,2017,Tues,0,Summer,4.050468,3,71,0,4463.95,2,2255,30
32308,2,Enterprise,2017-07-19,19,7,2017,Wed,0,Summer,4.050176,23,43,0,4463.95,2,1515,0
33630,2,Enterprise,2017-07-20,20,7,2017,Thurs,0,Summer,4.058274,2,96,1,4478.6,2,2254,10
32773,2,Enterprise,2017-07-21,21,7,2017,Fri,0,Summer,4.066824,3,57,4,4487.95,2,2149,10
16674,2,Enterprise,2017-07-22,22,7,2017,Sat,1,Summer,4.069776,0,21,0,4487.95,2,313,0
15833,2,Enterprise,2017-07-23,23,7,2017,Sun,1,Summer,4.014481,0,11,0,4487.95,2,277,0
33136,2,Enterprise,2017-07-24,24,7,2017,Mon,0,Summer,4.06285,2,66,2,4535.55,2,2254,10
33776,2,Enterprise,2017-07-25,25,7,2017,Tues,0,Summer,4.065368,28,188,0,4480.88,2,2256,40
34070,2,Enterprise,2017-07-26,26,7,2017,Wed,0,Summer,4.069548,32,246,21,4421.14,2,2257,83
33431,2,Enterprise,2017-07-27,27,7,2017,Thurs,0,Summer,4.044324,15,187,1,4366.31,2,2262,50
31522,2,Enterprise,2017-07-28,28,7,2017,Fri,0,Summer,4.076551,0,112,10,4409.21,2,2182,40
15243,2,Enterprise,2017-07-29,29,7,2017,Sat,1,Summer,4.084936,0,71,0,4439.95,2,327,0
14392,2,Enterprise,2017-07-30,30,7,2017,Sun,1,Summer,4.003125,2,79,0,4439.95,2,290,0
31823,2,Enterprise,2017-07-31,31,7,2017,Mon,0,Summer,4.050081,1,97,3,4475.31,2,2263,10
32447,2,Enterprise,2017-08-01,1,8,2017,Tues,0,Autumn,4.046492,2,116,0,4488.2,2,2266,40
32599,2,Enterprise,2017-08-02,2,8,2017,Wed,0,Autumn,4.038887,0,217,285,4653.9,2,2269,90
32560,2,Enterprise,2017-08-03,3,8,2017,Thurs,0,Autumn,4.051987,2,522,170,4783.33,2,2268,90
31898,2,Enterprise,2017-08-04,4,8,2017,Fri,0,Autumn,4.073845,2,344,496,4852.65,2,2167,140
15494,2,Enterprise,2017-08-05,5,8,2017,Sat,1,Autumn,4.085371,0,215,0,4891.77,2,330,10
14540,2,Enterprise,2017-08-06,6,8,2017,Sun,1,Autumn,3.997095,0,172,0,4895.94,2,291,0
32057,2,Enterprise,2017-08-07,7,8,2017,Mon,0,Autumn,4.070093,3,535,0,4937.24,2,2267,100
32584,2,Enterprise,2017-08-08,8,8,2017,Tues,0,Autumn,4.06698,4,353,1,4994.32,2,2270,60
32597,2,Enterprise,2017-08-09,9,8,2017,Wed,0,Autumn,4.062288,4,292,7,5039.09,2,2270,50
32539,2,Enterprise,2017-08-10,10,8,2017,Thurs,0,Autumn,4.065675,6,134,44,4819.91,2,2272,100
31737,2,Enterprise,2017-08-11,11,8,2017,Fri,0,Autumn,4.07627,2,180,38,4841.73,2,2169,80
15386,2,Enterprise,2017-08-12,12,8,2017,Sat,1,Autumn,4.078184,0,86,2,4847.94,2,327,0
14547,2,Enterprise,2017-08-13,13,8,2017,Sun,1,Autumn,3.983072,0,106,0,4847.94,2,290,10
31979,2,Enterprise,2017-08-14,14,8,2017,Mon,0,Autumn,4.050118,5,103,42,4895.15,2,2268,30
32571,2,Enterprise,2017-08-15,15,8,2017,Tues,0,Autumn,4.044135,1,260,1,4921.44,2,2263,130
32709,2,Enterprise,2017-08-16,16,8,2017,Wed,0,Autumn,4.049549,16,233,45,4997.09,2,2259,310
33172,2,Enterprise,2017-08-17,17,8,2017,Thurs,0,Autumn,4.051399,7,168,12,5008.58,2,2248,210
31844,2,Enterprise,2017-08-18,18,8,2017,Fri,0,Autumn,4.069816,6,156,5,4991.94,2,2147,150
15477,2,Enterprise,2017-08-19,19,8,2017,Sat,1,Autumn,4.067804,0,74,3,4991.94,2,320,110
14748,2,Enterprise,2017-08-20,20,8,2017,Sun,1,Autumn,3.977625,0,123,3,4991.94,2,291,220
32474,2,Enterprise,2017-08-21,21,8,2017,Mon,0,Autumn,4.050162,15,225,44,4991.94,2,2252,270
32691,2,Enterprise,2017-08-22,22,8,2017,Tues,0,Autumn,4.046894,5,217,185,5004.82,2,2236,230
33127,2,Enterprise,2017-08-23,23,8,2017,Wed,0,Autumn,4.048904,5,657,53,5062.3,2,2270,500
33055,2,Enterprise,2017-08-24,24,8,2017,Thurs,0,Autumn,4.057671,4,574,7,5147.47,2,2295,400
31795,2,Enterprise,2017-08-25,25,8,2017,Fri,0,Autumn,4.078116,8,263,3,5169.86,2,2144,260
15402,2,Enterprise,2017-08-26,26,8,2017,Sat,1,Autumn,4.075639,5,134,108,5216.74,2,323,240
